Source,Target
32531,32460
32393,32396
32516,32448
32516,32525
32516,32443
32516,32463
32431,32477
32431,32507
32474,32405
32474,32544
32474,32507
32474,32396
32474,32393
32437,32540
32437,32420
32437,32523
32472,32540
32472,32441
32423,32396
32423,32555
32423,32488
32452,32551
32537,32443
32537,32459
32457,32408
32457,32485
32434,32507
32406,32518
32406,32406
32406,32491
32406,32443
32406,32439
32535,32426
32535,32418
32535,32396
32436,32406
32436,32491
32436,32408
32436,32485
32436,32405
32490,32455
32441,32489
32518,32518
32440,32535
32440,32396
32440,32393
32560,32547
32446,32420
32446,32443
32448,32405
32448,32425
32448,32448
32443,32443
32443,32518
32443,32491
32443,32405
32458,32460
32532,32420
32532,32540
32488,32543
32488,32559
32513,32406
32513,32425
32513,32491
32513,32525
32513,32408
32513,32405
32513,32544
32407,32544
32522,32408
32522,32529
32522,32468
32522,32393
32517,32406
32517,32425
32517,32491
32517,32518
32517,32525
32517,32405
32517,32485
32517,32474
32517,32391
32526,32540
32549,32431
32549,32554
32549,32440
32397,32420
32397,32540
32397,32409
32417,32396
32417,32507
32417,32393
32424,32507
32424,32485
32424,32396
32425,32544
32425,32405
32425,32393
32425,32518
32511,32396
32453,32452
32499,32408
32499,32529
32499,32535
32499,32426
32499,32443
32414,32408
32414,32405
32445,32540
32439,32406
32439,32518
32439,32443
32439,32491
32470,32477
32468,32443
32468,32525
32468,32507
32401,32535
32401,32396
32401,32508
32401,32418
32401,32477
32401,32478
32459,32544
32459,32485
32459,32443
32503,32552
32415,32416
32415,32496
32415,32415
32491,32491
32491,32443
32491,32405
32491,32518
32521,32507
32524,32396
32399,32443
32399,32525
32399,32540
32399,32507
32399,32544
32399,32405
32399,32406
32409,32420
32409,32540
32409,32409
32420,32540
32483,32540
32509,32488
32509,32427
32509,32559
32509,32407
32428,32406
32428,32491
32428,32408
32428,32516
32426,32535
32426,32418
32426,32396
32476,32490
32476,32457
32539,32476
32539,32507
32539,32457
32539,32514
32539,32477
32408,32413
32408,32443
32408,32405
32408,32544
32510,32490
32520,32547
32520,32561
32533,32433
32533,32498
32533,32525
32559,32488
32540,32396
32540,32485
32540,32408
32540,32529
32442,32547
32442,32540
32455,32544
32455,32405
32455,32408
32455,32413
32556,32425
32556,32443
32556,32406
32527,32420
32464,32540
32416,32433
32416,32415
32416,32496
32416,32461
32416,32563
32416,32543
32498,32488
32498,32433
32498,32533
32460,32460
32460,32458
32467,32408
32467,32413
32467,32443
32467,32405
32467,32544
32508,32396
32508,32535
32508,32478
32508,32401
32427,32507
32447,32541
32529,32443
32529,32525
32529,32466
32529,32540
32529,32507
32529,32405
32529,32399
32529,32406
32555,32540
32471,32452
32438,32547
32475,32448
32475,32420
32394,32507
32394,32431
32478,32405
32435,32408
32435,32443
32435,32525
32435,32399
32435,32485
32411,32411
32538,32422
32538,32549
32538,32529
32519,32535
32519,32396
32519,32426
32519,32401
32519,32478
32565,32443
32565,32413
32565,32406
32565,32393
32484,32540
32484,32397
32418,32396
32418,32468
32462,32513
32462,32540
32462,32517
32462,32456
32462,32535
32456,32462
32456,32513
32551,32544
32551,32507
32551,32405
32480,32405
32480,32544
32480,32413
32413,32405
32413,32544
32413,32396
32413,32507
32413,32393
32554,32422
32554,32421
32429,32475
32402,32443
32402,32413
32507,32396
