Source,Target
32531,9381
32531,9409
32444,9411
32444,9409
32398,9394
32450,9410
32393,9376
32494,9381
32494,9378
32481,9411
32516,9381
32474,9401
32437,9413
32437,9382
32437,9411
32437,9409
32472,9383
32472,9403
32423,9381
32422,9397
32422,9382
32422,9401
32422,9409
32452,9400
32452,9408
32537,9411
32537,9391
32395,9381
32395,9409
32457,9413
32457,9381
32505,9401
32434,9401
32406,9401
32406,9402
32535,9401
32535,9402
32497,9403
32497,9399
32436,9381
32436,9410
32436,9382
32550,9401
32490,9403
32496,9401
32496,9409
32502,9390
32502,9402
32502,9403
32441,9411
32541,9401
32541,9402
32518,9390
32557,9391
32557,9413
32557,9411
32557,9397
32432,9403
32432,9397
32432,9382
32432,9413
32440,9397
32440,9382
32440,9406
32440,9402
32440,9401
32485,9390
32485,9409
32446,9381
32446,9413
32446,9397
32446,9382
32492,9409
32492,9401
32403,9393
32403,9381
32448,9397
32448,9381
32448,9382
32448,9376
32564,9381
32443,9390
32458,9381
32458,9410
32532,9397
32532,9381
32513,9390
32547,9382
32547,9411
32407,9409
32407,9381
32522,9401
32522,9382
32522,9399
32522,9413
32522,9409
32517,9390
32526,9411
32526,9406
32526,9399
32549,9390
32549,9376
32549,9399
32486,9381
32417,9390
32424,9390
32424,9410
32425,9381
32425,9403
32563,9381
32511,9409
32511,9381
32511,9383
32430,9401
32430,9402
32412,9391
32412,9381
32453,9397
32499,9401
32414,9401
32414,9376
32414,9377
32439,9401
32439,9400
32544,9390
32544,9410
32465,9381
32465,9409
32545,9381
32543,9390
32404,9381
32468,9397
32401,9401
32401,9402
32459,9397
32459,9382
32459,9381
32503,9401
32503,9409
32512,9406
32512,9401
32512,9402
32415,9406
32415,9390
32421,9406
32421,9401
32421,9397
32489,9401
32489,9402
32491,9381
32515,9401
32521,9381
32521,9397
32521,9391
32521,9406
32506,9411
32524,9401
32524,9400
32524,9397
32524,9383
32473,9381
32399,9403
32399,9400
32399,9397
32399,9406
32482,9403
32482,9383
32482,9391
32469,9410
32469,9398
32409,9403
32420,9381
32420,9413
32420,9382
32420,9397
32483,9381
32546,9397
32546,9403
32546,9409
32509,9381
32493,9403
32493,9413
32493,9382
32428,9403
32428,9399
32426,9401
32426,9402
32476,9381
32476,9383
32476,9409
32539,9397
32539,9411
32495,9383
32495,9381
32477,9401
32477,9402
32408,9402
32408,9401
32510,9381
32520,9381
32533,9403
32533,9409
32533,9402
32559,9381
32559,9406
32540,9413
32540,9406
32540,9403
32540,9398
32540,9410
32455,9403
32558,9391
32558,9399
32558,9382
32556,9386
32527,9401
32527,9402
32464,9401
32464,9409
32416,9381
32416,9409
32498,9410
32498,9403
32498,9401
32498,9402
32498,9409
32467,9390
32467,9376
32508,9390
32508,9399
32427,9403
32529,9401
32529,9402
32529,9397
32555,9403
32528,9381
32552,9394
32438,9411
32438,9381
32400,9390
32400,9402
32475,9411
32548,9391
32548,9397
32548,9411
32394,9390
32478,9390
32478,9402
32435,9403
32411,9406
32538,9397
32538,9401
32538,9376
32565,9381
32565,9397
32565,9413
32565,9410
32484,9411
32484,9410
32418,9401
32462,9381
32462,9398
32462,9379
32462,9403
32456,9381
32456,9410
32456,9388
32551,9390
32451,9390
32451,9410
32553,9381
32553,9376
32433,9409
32433,9403
32433,9390
32480,9390
32413,9403
32554,9401
32554,9402
32542,9381
32410,9397
32562,9403
32562,9413
32536,9381
32402,9381
32402,9397
32402,9406
32507,9403
