Participant-ID,Status,Manbox5_1,Manbox5_2,Manbox5_3,Manbox5_4,Manbox5_5,isolated,WomenDifferent,Manbox5_overall,language,Masculinity_contrained,GrowthMindset,COVID,criticises,MenBetterSTEM,School_support_engage6,pwi_wellbeing,Intelligence1,Intelligence2,Soft,opinion,Nerds,School_support_engage,comfortable,future,bullying,candidate_Perc_Effort,YourComments
32523,in progress,3,2,1,2,2,1,5,2.0,0,2.5,7.0,1,3,2,4.5,3,3,4,1,1,2,3.25,2,2,6,67, Our school encourages us to explore subjects that spark our interests
32561,completed,1,2,1,1,1,4,4,1.2,1,3.25,8.5,1,2,1,3.8333333333333335,8,2,3,1,6,7,4.25,4,7,4,53, Teachers here make learning engaging and interactive
32531,completed,1,1,1,1,1,1,1,1.0,0,1.0,5.5,3,4,1,6.166666666666667,10,4,5,1,2,1,6.0,7,6,7,53, Collaborative projects are common fostering teamwork and critical thinking
32444,completed,2,3,1,1,1,5,2,1.6,0,1.75,3.5,3,5,2,5.0,5,6,5,1,5,2,6.0,6,6,7,68, Learning goes beyond textbooks; we often have practical experiences
32398,completed,1,1,1,1,1,5,2,1.0,1,2.75,9.5,1,1,1,4.0,4,2,1,1,6,7,4.75,4,7,7,53, The school's approach to learning keeps us curious and motivated
32450,completed,2,1,1,1,1,2,1,1.2,1,1.0,9.0,7,6,1,5.333333333333333,7,2,2,1,4,1,5.5,6,4,6,53, Classroom discussions allow us to share our perspectives and learn from each other
32393,completed,6,6,2,2,6,2,5,4.4,1,3.5,7.0,6,7,2,5.5,5,3,4,6,6,1,6.25,6,5,7,6, Teachers value questions promoting a deeper understanding of topics
32494,completed,1,1,1,1,1,1,4,1.0,0,2.5,10.5,7,4,4,6.333333333333333,9,1,1,1,2,1,6.25,7,7,7,53, The school's atmosphere is conducive to effective learning
32481,completed,2,1,1,1,7,3,7,2.4,1,3.75,7.5,4,4,4,5.333333333333333,8,1,7,3,3,1,5.5,4,7,7,53, Encouragement and positivity fuel our desire to learn
32516,completed,4,3,3,4,4,4,6,3.6,0,4.0,5.0,3,4,3,4.166666666666667,9,5,4,4,3,3,4.0,5,6,1,21, The school's culture nurtures personal growth and self-improvement
32431,completed,1,1,1,1,1,1,6,1.0,0,5.0,3.0,5,7,1,5.833333333333333,9,6,6,7,4,6,6.0,6,6,5,53, We're encouraged to step out of our comfort zones and take risks
32474,completed,5,1,2,1,1,4,4,2.0,0,4.0,7.5,1,5,3,5.333333333333333,8,4,1,5,5,4,6.25,7,6,7,4, Independent thinking is nurtured helping us develop critical skills
