Source,Target
38002,37961
38002,37924
38002,37880
38002,37879
38018,37899
38018,37957
37881,37931
37881,37892
37881,37946
37881,37885
37881,37860
37881,37999
37893,37873
37893,37913
37893,38003
37915,37941
37915,37929
37915,37934
37915,37948
37915,37960
37998,37866
37998,37985
37998,37905
37998,37986
37998,37871
37998,37922
37998,37868
37998,37923
37998,37969
37998,37903
37998,37956
37998,37906
38007,37883
38007,37866
38007,37965
38007,37982
38007,37932
37982,37849
37982,37943
37982,37883
37982,38001
37982,37854
37982,37851
37982,37992
37982,38007
37910,38004
37851,37943
37851,38001
37851,37863
37851,37875
37851,37936
37851,37975
37851,37921
37851,37854
38009,37952
38009,37912
38009,37953
38009,37856
38009,37933
37993,37968
37993,37940
37993,37963
37993,37939
37993,37908
37993,37870
37993,37981
37993,37920
37993,38005
37993,38014
37993,37914
37880,37961
37880,37924
37880,38002
37880,37954
37880,37891
37880,38003
37880,37916
37880,37877
37880,37958
37880,37879
37880,37890
37880,37918
37880,37979
37917,37869
37917,37986
37917,37884
37917,37926
37917,37876
37917,37859
37917,37921
38008,37889
38008,38006
38008,37883
38008,37986
38008,37857
38008,37850
38008,37947
38008,37849
38008,37931
38008,37914
38008,37991
38008,37920
37859,37965
37859,37992
37859,37935
37859,37889
37859,37876
37859,37936
37859,37964
37859,37884
37859,37863
37859,37921
37859,37971
37859,38007
37909,37852
37909,37882
37909,37872
37909,37898
37909,37864
37909,37932
37909,37943
37909,37851
37909,37866
37909,38001
37876,37935
37876,37992
37876,37884
38011,37995
38011,37850
38011,37989
38011,37918
38011,37970
38011,37974
38011,37893
38011,37984
38016,38001
38016,38000
38016,37946
38016,37999
38016,37881
38016,37892
38016,37860
38016,38022
38016,37926
37922,37898
37922,38007
37922,37982
37922,37889
37922,38008
37922,37883
37922,37849
37849,37982
37849,37883
37849,38007
37952,37912
37952,37953
37952,38009
37952,37856
37952,37969
37952,37996
37952,37933
37952,37853
37952,38014
37952,37867
37952,38011
38019,37988
38019,38003
38019,37879
38019,38009
38019,38020
38019,37924
38019,37865
38019,37870
38019,37995
38019,37891
38019,38011
38019,37940
37992,37854
37992,37876
37992,37884
37992,38007
37986,37917
37986,37857
37986,38009
37986,37863
37986,37932
37986,37947
37986,37943
37986,37931
37986,37883
37986,38008
37986,37850
37986,37969
37986,37879
37986,37880
37930,37942
37930,37994
37888,37947
37888,37868
37888,37876
37888,37884
37916,37918
37916,37880
37916,37879
37916,38003
37916,37874
37916,37990
37916,37892
37999,37865
37999,37860
37999,37892
37999,37885
37999,37931
37999,38022
37999,37881
37999,38020
37867,37886
37867,37997
37867,37878
37867,37890
37867,37904
37867,37969
37867,37953
37867,37853
37867,37933
37867,37857
37867,37958
37867,37970
37867,37974
37867,37920
37867,37855
37879,37916
37879,37880
37879,38003
37879,37924
37879,37961
37879,37954
37879,37918
37879,37958
37879,37877
37879,37979
37879,37891
37891,38012
37891,37990
37891,37961
37891,38002
37891,37880
37891,37879
37891,37882
37891,38006
37891,38000
37891,37956
37891,37967
37891,37945
37853,37933
37853,38009
37853,37855
37853,37912
37853,37886
37853,37952
37853,37861
37853,37931
37945,37903
37945,37956
37945,37891
37945,37914
37945,37974
37945,37920
37945,37927
37945,37970
37945,37868
37945,37947
37945,38006
37945,37990
37945,38000
37878,37904
37878,37997
37878,37867
37878,37857
37878,37890
37878,37886
37878,37985
37878,37906
37878,37974
37955,37966
37955,37979
37955,37870
37955,37865
37955,37948
37955,37989
38003,37893
38003,37913
38003,37938
38003,37873
38003,37880
38003,37879
38003,37918
38003,38019
37918,37879
37918,37916
37918,37880
37918,38003
37918,37855
37918,37917
37918,38011
37918,37988
37918,37986
37918,37897
37918,37978
37918,37877
37918,37945
37906,37904
37906,37973
37906,37962
37906,38015
37906,37985
37906,37951
37906,37997
37906,37878
37906,37886
37936,37921
37936,37965
37936,37859
37936,37971
37936,37928
37936,37863
37936,37992
37936,38007
37936,37943
37936,37889
37936,38012
37936,38001
37855,37918
37855,37933
37855,37980
37855,37853
37855,37934
37855,37870
37855,37878
38001,37863
38001,37943
38001,37851
38001,37854
38001,37901
38001,37975
38001,37964
37942,37929
37942,37994
37923,37893
37923,37862
37923,37873
37923,37913
37923,38003
37923,37938
37921,37936
37921,37863
37921,37932
37921,37943
37921,37859
37921,37935
37921,37866
37921,37876
37921,37851
37921,37871
37921,37854
37921,38012
37921,37889
37921,37949
37921,38001
37921,37982
37921,37965
37921,37992
37921,37914
37921,37869
37921,37917
37958,37879
37958,37880
37958,37877
37958,37856
37958,37961
37958,37904
37958,37878
37958,37979
37958,37906
37883,38007
37883,37931
37883,38008
37883,37986
37883,37849
37956,37903
37956,37947
37956,37868
37956,37945
37956,37891
37956,38000
37956,37990
37956,37859
37956,37854
37956,37851
37956,37875
37956,37992
37956,37866
37956,37932
37874,37891
37874,37967
37874,37877
37874,38005
37874,37919
37874,37879
37874,37990
37874,37880
37874,37916
37874,37966
37874,38020
37874,37956
37874,37924
37874,38002
37874,37955
37874,38000
37874,37954
37857,37867
37857,37905
37857,37986
37857,37913
37857,37893
37857,37997
37857,37878
37857,37917
37857,37883
37857,38008
37857,37889
37857,37850
37857,37969
37857,38009
37857,37906
37857,37998
37904,37878
37904,37997
37904,37867
37904,37886
37904,37906
37904,37980
37904,37974
37904,37985
38020,37966
38020,37919
38020,38005
38020,37940
38020,37939
38020,38019
38006,38008
38006,37937
38006,38010
38006,37872
38006,37922
38006,37898
38006,37889
37894,37920
37894,37914
37894,37927
37965,37859
37965,37992
37965,37936
37965,37876
37965,37935
37965,37854
37965,37884
37965,37921
37965,37863
37965,37889
37965,37928
37965,37964
37965,37971
37965,38007
37995,37988
37995,38011
37995,37850
37995,37984
37995,37989
37987,37980
37987,37944
37971,37935
37971,37928
37971,37858
37971,37876
37971,37936
37971,38012
37971,37869
37971,37965
37971,37859
37971,37986
37931,37906
37931,37892
37931,37881
37931,37883
37931,38008
37931,37885
37985,37934
37985,37906
37985,37998
37985,38015
37985,37972
37985,37962
37985,37996
37985,37915
37985,37948
37985,37860
37914,37920
37914,37974
37914,37970
37914,38008
37914,37945
37914,37927
37933,37853
37933,38009
37933,37912
37933,37886
37933,37952
37933,37855
37988,37995
37988,37918
37988,38011
37988,37989
37988,37850
37988,38019
37862,37883
37862,37950
37862,37913
37862,37893
37862,37873
37862,37923
37951,37906
37951,37973
37951,37937
37951,37997
37951,37878
37951,37904
37950,37935
37950,37965
37950,37986
37950,37862
37950,37883
37950,37971
37950,37871
37950,37975
37950,37854
37979,37955
37979,37954
37979,37989
37979,37879
37979,37880
37979,37877
37979,37958
37979,37961
37979,38002
37979,37990
37979,37891
37979,37890
37979,37916
37979,37924
37979,37874
37979,37967
37979,37897
37979,38011
37979,37850
37929,37941
37929,37915
37929,37942
37929,37877
37929,37934
37929,37871
37964,37975
37964,37949
37964,37901
37964,37854
37964,37889
37935,37876
37935,37854
37935,37928
37935,37859
37935,37889
37935,37964
37935,37936
37935,38012
37935,37921
37947,37868
37947,37986
37947,37866
37870,37939
37870,37861
37870,37955
37870,37908
37870,37968
37870,37963
37870,37940
37870,38019
37870,37855
37870,37981
37912,37952
37912,37953
37912,37856
37912,38009
37912,37853
37912,37933
37912,38014
37889,37975
37889,37949
37889,37901
37889,37964
37889,38008
37858,37936
37858,37971
37858,37935
37858,37863
37858,37876
37858,37859
37858,37928
37858,38007
37858,37866
37858,37932
37858,37901
37858,37982
37858,37943
37858,37965
37858,37851
37858,37992
37927,37970
37927,37974
37927,37920
37927,37914
37927,37922
37927,37898
37960,37915
37960,37897
37960,37987
37960,37918
37960,37978
37960,37980
37887,37977
37887,37890
37854,37964
37854,37975
37854,37992
37854,37863
37854,38001
37854,37901
37852,37909
37852,37882
37852,37872
37852,37898
37852,37976
37932,37866
37932,37864
37932,37950
37932,37921
37932,37943
37932,37863
37932,37936
37932,37871
37932,37986
37932,37949
37932,37935
37932,37909
37932,37917
37932,37992
37932,37965
37932,38007
37932,37998
37865,37999
37865,38020
37865,38005
37907,37989
37907,37977
37907,37995
37907,37988
37996,37896
37996,37994
37996,37934
37996,37985
37996,37952
37996,37910
37996,37998
37996,37940
37996,37963
37996,37939
37996,38019
37996,37966
37996,37919
37996,37865
37996,38005
37996,37993
37996,37955
37996,37886
37996,38017
37996,38020
37970,37927
37970,37920
37970,37945
37970,37898
37970,37997
37970,38003
37970,37914
37970,37974
37970,37962
37970,37922
37885,37892
37885,37931
37885,37881
37885,37860
37885,37999
37885,37946
37983,38014
37983,37902
37983,37957
37983,37977
37983,37856
37939,37911
37939,38019
37939,37929
37939,37874
37939,37940
37939,37963
37939,37981
37939,38005
37939,37910
37939,37996
37939,37966
37939,37993
37939,37967
37939,37968
37939,37870
37939,37997
37939,38018
37939,37908
37939,38022
37939,37941
37939,37915
37939,37934
37939,37905
37939,37871
37939,37857
37939,38015
37939,38014
37939,37974
37939,37970
37978,37944
37978,37918
37978,37923
37978,37897
37898,37922
37898,37872
37898,37852
37898,37909
37898,37882
37898,37886
37898,38007
37898,37892
37898,37881
37898,37860
37898,37946
37898,37916
37966,37955
37966,37948
37966,37989
37966,37865
37966,37919
37966,38020
37966,38005
37966,37996
37944,37978
37944,37850
37944,37872
37944,37922
37884,37876
37884,37992
37884,37926
37882,37852
37882,37909
37882,37872
37882,37898
37882,37876
37882,37928
37953,37952
37953,37969
37953,37867
37953,38009
37953,37970
37953,37912
37953,37856
37953,38011
37953,37853
37953,37938
38000,37891
38000,37956
38000,37916
38000,38001
38000,37872
38000,37990
38000,37892
38000,37881
38000,37999
38000,37917
38000,37926
38000,38012
38000,37869
38015,37962
38015,37985
38015,37972
38015,37906
37977,37907
37977,37987
37977,38013
37977,38021
37934,37985
37934,37996
37934,37915
37934,37948
37934,37941
37934,37929
37934,37942
37961,37879
37961,37880
37961,37924
37961,38002
37961,37877
37961,37916
37961,37891
37961,37874
37961,37990
37961,37967
37961,37979
37961,37958
37962,38015
37962,37906
37962,37972
37962,37985
37974,37927
37974,37970
37974,37920
37974,37914
37974,37945
37974,37898
37974,37937
37974,37997
37974,38003
37974,37980
37974,37962
37974,37906
37974,37904
37974,37878
37896,37900
37896,37910
37873,37893
37873,37938
37873,37913
37873,37862
37873,38003
37905,37998
37905,37969
37905,37857
37905,37871
37905,37915
37905,37934
37895,37886
37895,37890
37895,37902
37895,37933
37895,37997
37976,37859
37976,37852
37976,37935
37976,37971
37976,37882
37976,37898
37976,37992
37989,37850
37989,38011
37989,37907
37989,37968
37989,37955
37860,37999
37860,37892
37860,37946
37860,37885
37860,37881
37860,37931
37860,37903
38022,37967
38022,37999
38022,38015
38022,37985
38022,38016
37940,37968
37940,37993
37940,37908
37940,37870
37940,38019
37940,37929
37940,37930
37940,37981
37940,37939
37940,38014
37920,37914
37920,37974
37920,37970
37920,37945
37920,37962
37920,37927
37908,37940
37908,37968
37908,37981
37908,37870
37908,38014
37908,37993
38014,37902
38014,37957
38014,37983
38014,37981
38014,37912
37872,37898
37872,37909
37872,37882
37872,37852
37863,38001
37863,37943
37863,37932
37863,37936
37863,37965
37863,37859
37863,37871
37863,37851
37863,37901
37863,37975
37863,37889
37863,37854
37863,37949
37863,37935
37863,37921
37959,38006
37959,37969
37959,37998
37959,37905
37959,37986
37959,38008
37959,37885
37959,37928
37967,38022
37967,37874
37967,37999
37967,37924
37967,37961
37967,37879
37967,37865
37967,38002
37967,37891
37943,38001
37943,37851
37943,37982
37943,37921
37943,37863
37943,37854
37943,37936
37943,37964
37943,38012
37943,37932
37943,37965
37943,37992
37969,37986
37969,37871
37969,37905
37969,37998
37969,37857
37963,37981
37963,37968
37963,37939
37963,37929
37963,38022
37963,37993
37963,37870
37963,37908
37963,37910
37963,37996
37963,37900
37963,38005
37963,38014
37963,37967
37963,37874
37850,37989
37850,38010
37850,38011
37850,38008
38013,38021
37913,37938
37913,38003
37913,37893
37913,37873
37913,37862
37913,37923
37990,37880
37990,37879
37990,37891
37990,38012
37990,37961
37990,38002
37990,37924
37990,37954
37990,37959
37990,37916
37990,37874
37990,37877
37990,37905
37990,37967
37990,37979
37990,37956
37990,38000
37877,37880
37877,37913
37877,37879
37877,37961
37877,38002
37877,37924
37877,37954
37877,37942
37877,37916
37877,37874
37877,37915
37877,37934
37877,37938
37877,38000
37877,37912
37877,37891
37877,37929
38012,38000
38012,37971
38012,37869
38012,37917
38012,37921
38012,37936
38012,37881
38012,37990
38012,37928
38012,37935
38012,37854
38012,37924
38012,37876
37968,37993
37968,37981
37968,37989
37968,37963
37968,37940
37968,37870
37968,37908
37968,38014
37968,37957
37968,37939
37968,37902
37968,37912
37968,37861
37968,37899
37968,38018
37968,38005
37868,37947
37868,37986
37868,37903
37886,37890
37886,37958
37886,37906
37886,37904
37886,37997
37886,37878
37886,37867
37886,37853
37886,37857
37886,37895
37886,37855
37897,37978
37897,37918
37897,37864
37897,37960
37897,37868
37954,37891
37954,37880
37954,37879
37954,37990
37981,38014
37981,37968
37981,37870
37981,37908
37981,37993
37981,37963
37981,37940
37981,37941
37997,37878
37997,37867
37900,38017
37900,37896
37900,37941
37900,38005
37900,37942
37900,37994
37900,37939
37875,37851
37924,37961
37924,37879
37924,37880
37924,37979
37924,37967
37924,37891
37924,37874
37924,38002
37924,37877
37924,37916
37924,37990
37924,37958
37924,38019
37924,37988
37869,37917
37869,37921
37869,38012
37869,37926
37903,37945
37903,37868
37903,37947
37903,37927
37903,37914
37903,37956
37994,37942
37994,37996
37994,37900
37994,37985
37994,38002
37994,37887
37994,38017
37946,37999
37946,37892
37946,37881
37946,37865
37946,37852
37946,37885
37946,37860
37946,37959
37864,37897
37864,37866
37864,37932
37864,37883
37901,37975
37901,37949
37901,37889
37901,37964
37948,37934
37948,37915
37948,37913
37948,37985
37948,37966
37948,37955
37948,37997
38005,37865
38005,37919
38005,38020
38005,37874
38005,37966
38005,37911
37973,37906
37973,37951
37973,37937
38017,37900
38017,38005
38017,37915
38017,37941
38017,37942
38017,37929
37866,37932
37866,37998
37866,38007
37866,37864
37866,37871
37919,38005
37919,37966
37919,38020
37919,37865
37919,37874
37919,37996
37972,37962
37972,37985
37972,38015
37972,37871
37972,38007
37972,37866
37899,38018
37899,37957
38010,37925
38010,37991
38010,37850
37938,37913
37938,37873
37938,37893
37938,38003
37938,37923
37941,37929
37941,37915
37984,37893
37984,38011
37949,37975
37949,37901
37949,37889
37949,37964
37949,37863
37949,37965
37949,38001
37949,37935
37856,37912
37856,37958
37856,37983
37856,38009
37856,37953
37856,37952
37856,38014
37856,37861
37975,37901
37975,37889
37975,37964
37975,37949
37892,37881
37892,37946
37892,37999
37892,37916
37892,37931
37892,37860
37892,37885
37928,37935
37928,38012
38021,38013
38021,37977
38021,37885
37902,38014
37902,37983
37902,37957
37890,37880
37890,37879
37890,38002
37890,37961
37890,37886
37890,37933
37890,37878
37890,37857
37890,37997
37890,37895
37890,37867
37890,37951
37890,37855
37890,37887
37926,37876
37926,37884
37926,37866
37926,37992
37926,37869
37926,37986
