Source,Target
38002,37880
38002,37879
37881,37892
37893,37997
37893,37854
37980,37878
37980,37906
37980,37855
37915,37854
37915,37943
37915,38001
37915,37901
37998,37906
37998,37866
38007,37854
38007,37851
37910,37942
37880,37901
37917,37849
37917,37899
37917,37854
37917,38009
37917,37986
38008,37964
38008,38001
38008,37901
38008,37975
37859,37965
37859,37889
37859,37863
37909,37898
37876,37854
38011,37906
38016,37853
38016,37964
38016,38001
38016,37892
37922,37849
37922,37898
37922,38007
37849,37854
37952,38009
37952,37913
37952,37906
37992,37854
37986,37982
37986,37899
37986,37854
37986,38009
37986,37857
37986,37917
37930,37935
37930,37917
37930,37997
37888,37854
37916,37899
37999,37854
37867,37864
37867,37866
37867,37901
37867,37949
37867,37859
37867,37852
37867,37921
37867,37854
37867,37872
37867,37965
37867,38012
37867,37903
37867,37863
37867,37943
37867,37950
37879,37901
37879,37964
37879,37854
37853,37906
37853,37931
37955,37866
37955,37901
38003,37901
38003,37964
37918,37880
37918,37916
37918,37879
37906,37901
37936,37863
37855,37878
37855,37933
37855,37980
38001,37854
38001,37863
37923,37935
37923,37956
37923,37876
37921,37854
37921,37899
37958,37906
37958,37913
37958,37898
37958,37965
37956,37859
37874,37899
37874,38012
37857,37854
37857,37899
37857,37994
37857,37910
38020,37920
37894,37854
37894,37872
37965,37889
37965,37863
37965,37964
37995,37906
37995,38006
37971,37859
37971,37965
37971,37935
37971,38012
37971,37936
37985,37906
37985,37935
37985,37964
37914,37920
37914,37970
37914,37974
37933,37906
37933,37931
37933,38009
37988,37906
37951,37913
37951,37997
37950,37854
37950,37975
37964,37975
37964,37889
37964,37854
37947,37854
37947,37863
37947,37851
37947,37949
37912,37913
37912,38009
37912,37906
37889,37975
37889,37964
37889,37854
37858,37854
37858,37851
37927,37854
37960,37854
37960,37864
37960,37869
37960,37851
37887,37902
37854,37964
37854,37975
37932,37854
37865,37854
37865,38001
37865,37851
37865,37964
37865,37943
37865,37883
37907,37918
37907,37865
37996,37897
37996,37964
37996,37969
37996,37905
37983,37940
37983,37997
37983,38019
37939,37963
37939,37940
37939,37981
37939,37929
37898,37922
37966,37948
37966,37955
37884,37854
37884,37851
37953,37906
37953,38009
38000,38001
38000,37854
38000,37901
38015,38016
37977,37865
37961,37896
37873,37938
37873,37913
37873,37893
37873,38003
37873,37862
37905,37998
37976,37854
37976,37851
37976,37863
37976,38001
37976,37936
37989,38016
37989,37964
37989,37889
37989,37943
37860,37901
38022,38016
38022,37964
38022,37889
37920,37914
37920,37970
37920,37918
37920,37854
37920,37993
37908,37920
37908,37940
37908,38004
37908,38018
37908,37964
37872,37975
37872,37854
37959,37935
37959,37964
37967,37955
37967,37879
37943,38004
37969,38006
37963,37939
37963,37940
37850,37897
37850,37917
38013,37913
37913,37854
37990,37898
37990,37997
37877,37898
37877,37997
38012,37854
38012,37997
38012,37917
37968,37854
37968,37964
37868,37854
37868,37889
37868,37863
37886,37949
37886,37975
37886,37917
37886,37905
37886,37901
37886,37866
37886,37852
37886,37898
37886,37965
37886,37859
37886,38012
37886,37863
37886,37921
37886,37986
37897,37854
37954,37851
37954,37854
37954,37901
37981,37940
37981,38014
37981,37968
37981,37870
37997,37854
37997,37899
37900,38018
37900,37899
37924,37896
37869,37854
37903,37975
37903,37854
37903,37898
37994,37917
37994,37897
37994,37964
37946,38016
37946,38018
37864,37854
37901,37975
37901,37949
37901,37964
37948,37997
38005,37907
37973,37853
37973,37964
38017,37899
38017,38018
37972,38018
37899,38018
38010,37868
38010,37995
38010,37925
38010,37991
37938,37935
37941,37854
37984,37854
37949,37901
37949,37975
37856,37906
37928,37964
37928,37896
37890,37901
37890,37964
37926,37854
