Source,Target
37881,37892
37881,37885
37980,37855
37980,37906
37915,37960
37998,37886
37998,37985
37998,37906
38007,37888
37982,37943
37982,37849
37910,37900
37851,37922
37993,37940
37880,37890
37880,37979
37880,37891
37917,37926
37917,37986
38008,37931
38008,37914
38008,38006
37859,37965
37876,38012
37876,37928
38011,37995
38011,37989
38011,37908
38011,37923
38016,38022
38016,37967
37952,37933
37952,37853
38019,37940
37992,37849
37986,37914
37986,37857
37986,37917
37888,38007
37916,37880
37916,37918
37916,38012
37999,38022
37867,37878
37891,38006
37891,37985
37853,37855
37945,38006
37878,37997
37878,37904
37878,37857
37955,37979
38003,37893
38003,37873
38003,37906
37918,37906
37906,37849
37906,37997
37936,37932
37936,37863
37855,37933
37855,37980
37855,37878
37855,37879
38001,38000
37921,37914
37921,37936
37921,37866
37857,37867
37857,37986
37904,37878
37904,37997
38006,37906
37894,37886
37894,37895
37965,38008
37995,38006
37971,37998
37971,37882
37971,37936
37971,37876
37971,37859
37971,37965
37971,38012
37985,37906
37985,37915
37985,37948
37985,37996
37985,37860
37985,38015
37914,37920
37914,38008
37933,37997
37988,37906
37862,37855
37951,37906
37951,37997
37951,37878
37950,37884
37950,37876
37929,37934
37964,37975
37964,37889
37947,37888
37947,37995
37947,37868
37870,38019
37912,37933
37889,37964
37889,37975
37889,37859
37858,37971
37858,37936
37858,37935
37927,37878
37927,37855
37960,37915
37887,37902
37854,37964
37854,37975
37852,37909
37932,37936
37932,37866
37907,37989
37907,37977
37996,37993
37996,37994
37970,37974
37970,37927
37970,37920
37885,37931
37885,37892
37885,37881
37983,37856
37983,38014
37983,37902
37939,37963
37939,37870
37978,37988
37966,37996
37966,37955
37944,37978
37884,37926
37953,37985
38000,37990
38015,37906
37977,37907
37977,38013
37961,37958
37961,37891
37962,37906
37974,37970
37974,37927
37974,37914
37974,37920
37896,37996
37896,37900
37873,37962
37873,38015
37905,37998
37895,37902
37895,37890
37895,37886
37976,37898
37989,37850
37989,38022
37989,38011
37860,37999
37860,37881
38022,37967
37920,37914
37920,38003
37908,37993
38014,37981
37872,37898
37959,37928
37959,37985
37959,37989
37967,37874
37967,38022
37967,37924
37969,37902
37969,38006
37963,37981
37963,37939
37963,37929
37963,37870
37850,37989
37850,38008
38013,38021
38013,37977
37913,37938
37913,37893
37913,38003
37990,38012
37990,37874
37990,37916
37877,37961
37877,37880
38012,37916
38012,37990
37868,37888
37868,37947
37886,37958
37886,37867
37954,37906
37981,37941
37981,38014
37981,37968
37981,37870
37997,37878
37924,37988
37903,37956
37903,37945
37994,37996
37994,37993
37946,37892
37946,37885
37901,37975
37948,37906
37973,37906
37973,37951
37866,37914
37866,37909
37919,37966
37919,37861
37938,37873
37938,38003
37941,37915
37984,37898
37984,37878
37975,37931
37892,37885
37892,37881
37928,37876
37928,37882
38021,38013
38021,37977
37902,37905
37902,37887
