Source,Target
38002,37954
37881,37916
37893,37873
37893,37913
37893,38003
37915,38017
37998,37971
37998,37936
37998,37868
37998,37888
38007,37883
37982,37849
37982,37883
37982,37943
37910,38004
37851,37875
37851,37943
37880,37961
37880,37958
37880,37979
37880,38003
37880,37916
37880,37879
37880,37924
37880,37918
37880,37877
37880,37891
37880,37954
37880,38002
37880,37890
37917,37921
37917,37869
37917,37986
37917,37876
37917,37884
37917,37859
38008,38006
38008,37986
38008,37914
37859,37975
37859,37949
37859,37851
37859,37901
37909,37872
37909,37851
37909,38001
37876,37992
38011,37988
38011,38003
38011,37850
38011,37906
38011,37916
38011,37914
38011,37920
38016,38022
37922,37898
37849,37889
37849,38001
37849,37854
37952,37853
38019,37988
38019,37870
38019,37940
37992,37854
37992,37876
37986,37917
37986,37857
37986,38008
37986,37883
37986,37931
37986,37866
37986,37947
37930,37994
37930,37940
37888,37868
37888,37884
37888,37947
37916,38003
37999,37881
37999,37885
37999,37865
37999,38020
37999,37860
37999,37892
37999,38022
37867,37886
37879,37958
37879,37961
37879,38003
37879,37979
37879,37924
37879,37916
37879,37891
37879,37880
37879,37918
37879,37877
37891,37990
37891,38012
37853,37931
37945,37903
37945,37956
37945,37988
37945,37891
37945,38006
37878,37857
37878,37997
37878,37995
37878,37904
37878,37867
37878,37906
37878,37886
37878,37958
37878,37985
37878,37974
37878,37969
37878,37927
37955,37870
37955,37979
37955,37966
38003,37970
38003,37974
38003,37893
38003,37913
38003,37873
38003,37938
38003,37879
38003,37880
37918,37916
37918,37879
37918,37880
37906,37920
37906,37962
37936,37943
37936,37863
37936,37859
37936,37971
37936,37928
37936,38012
37855,37980
37855,37933
37855,37878
38001,37863
38001,37943
38001,37851
38001,37854
37942,37929
37942,37994
37942,37915
37923,37893
37921,37932
37958,37879
37958,37880
37958,37856
37958,37906
37958,37904
37958,37878
37958,37886
37958,37877
37958,37961
37958,37967
37958,37874
37883,37875
37883,37949
37883,37975
37956,37903
37956,37945
37874,38000
37874,37891
37874,37919
37874,38005
37857,37867
37857,37986
37857,37893
37857,37913
37857,37940
37857,37997
37857,37931
37904,37878
37904,37867
37904,37996
37904,37906
37904,37886
37904,37894
37904,37995
37904,37969
37904,37927
37904,37944
37904,37892
37904,37879
38020,37940
38020,38019
38006,38008
38006,37937
38006,38010
38006,37922
37894,37920
37894,37927
37965,37975
37965,37949
37965,37901
37965,38001
37965,37851
37995,37988
37995,38011
37995,37937
37971,38012
37971,37882
37971,37876
37971,37889
37971,37998
37985,38015
37985,37906
37914,37970
37914,37974
37914,37920
37914,38008
37914,37927
37933,38009
37933,37853
37988,38011
37862,37883
37862,37950
37951,37886
37951,37867
37951,37944
37950,37975
37964,37889
37964,37975
37947,37868
37947,37866
37947,37986
37870,37955
37870,37861
37870,37939
37870,37908
37870,37968
37870,37981
37870,37963
37870,37940
37870,37855
37870,38019
37912,38009
37889,37964
37889,37975
37889,37859
37858,37936
37927,37866
37927,37922
37927,38007
37960,37897
37960,37918
37887,37977
37854,37975
37854,37964
37932,37921
37865,37999
37865,38020
37865,38005
37865,37873
37907,37989
37907,37977
37907,37995
37907,37988
37996,38017
37996,37919
37996,38020
37996,37865
37970,37974
37970,37927
37970,37920
37970,37914
37885,37892
37885,37931
37885,37881
37885,37999
37885,37967
37885,38010
37983,38014
37983,37902
37983,37977
37983,37856
37983,37957
37939,37963
37939,37870
37978,37944
37978,37962
37978,37897
37978,37918
37978,37923
37898,37916
37898,37879
37898,37880
37966,37919
37966,37996
37966,37948
37966,37955
37944,37978
37884,37876
37882,37909
37882,37852
37882,37872
37882,37898
37953,37853
38000,37990
38000,38012
38000,38001
38015,37962
38015,37972
38015,37985
37977,37907
37977,38021
37977,37987
37977,38013
37961,37880
37961,37879
37961,37924
37962,38015
37962,37906
37962,37985
37962,37972
37974,37970
37974,37927
37974,37914
37974,37920
37896,37900
37873,37893
37873,37938
37873,37913
37873,38003
37873,37862
37895,37902
37895,38014
37976,38007
37976,37854
37976,37859
37989,37850
37989,38011
37989,37955
37989,38022
37989,37968
37860,37999
38022,37967
38022,37999
38022,38015
38022,37974
37920,37970
37908,37940
38014,37902
