Source,Target
38018,37864
38018,37956
37881,37869
37893,37898
37915,37917
37915,37869
37915,37864
37915,37903
37915,38006
37910,37851
37851,37854
37851,37964
38009,37864
38009,37854
37917,37918
37917,37849
37917,37942
37917,37929
37917,37915
37917,37916
37917,37957
37917,37969
38011,37964
38011,37854
38011,37950
38011,37864
38011,37917
38011,38001
38016,37885
38016,37897
37922,37979
37922,37960
37849,37957
37952,37880
37952,37907
38019,37880
37992,37957
37986,37957
37986,37898
37986,37849
37930,37899
37930,38004
37916,37957
37879,37950
38003,37938
37918,38019
37918,37907
37918,37964
37918,37889
37918,38009
37906,37956
37906,37864
37855,37956
37855,37913
37855,37954
37855,37917
37942,37917
37942,37869
37958,37898
37883,37849
37874,37954
37857,37957
37904,37913
38006,37852
37894,37976
37995,37992
37931,37923
37931,37860
37931,37918
37914,37950
37914,37864
37951,37913
37950,37889
37950,37909
37929,37864
37929,38021
37929,37869
37929,37917
37964,37907
37964,37950
37964,37885
37964,37887
37912,37907
37889,37907
37889,37887
37887,37891
37865,37874
37865,37880
37865,37879
37865,37907
37865,37869
37865,37997
37907,37913
37907,38021
37907,37917
37907,37909
37907,37891
37907,37964
37907,37889
37907,37943
37996,38002
37996,37905
37885,37964
37885,37864
37885,37950
37983,38021
37939,37954
37939,37962
37978,37960
37898,37960
37898,37951
37898,37957
37898,37944
37966,37950
37966,37852
37882,37887
37953,37907
38000,38021
37977,37917
37977,37909
37961,38002
37873,37852
37873,37909
37895,37962
37895,37906
37976,37949
37976,37851
37989,37979
37989,37864
37989,37950
37860,38021
38022,37979
38022,38021
38022,37929
38022,37910
37920,37972
37920,37950
37920,37864
37920,37960
37920,37918
37908,38015
37908,37962
37908,37871
37908,37948
37908,37932
38014,37948
38014,38015
37872,37944
37959,37954
37963,37962
37963,37954
38013,37948
38013,37913
38013,37979
38013,37869
38013,38000
38013,37957
38013,38002
37968,37921
37968,37901
37954,38001
37954,37905
37954,37976
37981,38015
37997,37889
37997,37863
37997,37851
37997,37976
37997,37943
37900,38004
37869,37929
37869,37942
37869,38021
37869,37921
37869,37935
37869,37917
37869,38012
37903,37898
37946,37869
37948,37957
37948,38021
38005,37975
37919,37871
37899,37864
37899,37956
37984,37880
37984,37879
37984,38008
37928,38002
38021,38000
38021,37869
38021,37957
38021,37948
38021,37913
37890,37904
37890,37913
37926,37969
37926,37957
