Source,Target
38018,9608
38018,9619
37881,9618
37881,9589
37893,9585
37980,9605
37980,9590
37980,9614
37915,9589
37915,9617
37998,9609
37998,9610
37998,9606
38007,9585
37982,9598
37851,9598
38009,9602
37993,9589
37880,9590
37880,9617
37880,9609
37880,9605
37917,9590
37917,9605
37917,9585
37917,9610
38008,9598
38008,9610
38008,9596
37909,9618
37909,9584
37909,9585
38011,9610
38011,9609
38011,9606
38016,9589
38016,9607
37849,9609
37849,9610
37849,9589
37849,9618
37952,9591
37952,9618
37952,9589
38019,9621
38019,9585
38019,9617
38019,9611
38019,9599
37992,9610
37992,9609
37992,9585
37986,9605
37986,9610
37986,9609
37986,9606
37930,9591
37930,9611
37930,9618
37930,9599
37930,9607
37930,9614
37930,9601
37930,9590
37888,9609
37888,9614
37888,9610
37888,9606
37916,9618
37916,9589
37999,9606
37999,9589
37999,9618
37879,9617
37879,9609
37879,9605
37879,9613
37879,9590
37891,9585
37891,9617
37891,9590
37891,9596
37853,9589
37853,9617
37945,9609
37878,9621
37878,9605
37878,9590
37878,9607
37878,9585
37878,9608
37878,9589
37955,9614
37955,9611
37955,9617
37955,9596
38003,9585
38003,9617
38003,9606
38003,9605
37918,9589
37906,9590
37906,9619
37906,9607
37936,9585
37936,9610
37936,9598
37936,9606
38001,9618
38001,9610
37942,9619
37942,9614
37942,9618
37942,9607
37923,9585
37923,9618
37923,9606
37921,9610
37921,9609
37921,9606
37958,9602
37958,9607
37958,9608
37958,9605
37958,9590
37883,9589
37883,9610
37883,9606
37883,9611
37956,9610
37956,9611
37874,9623
37874,9617
37874,9613
37874,9589
37857,9605
37857,9611
37857,9608
37904,9621
37904,9618
37904,9589
37904,9585
37904,9590
37904,9600
37904,9605
37904,9607
38020,9599
38020,9587
38020,9589
38006,9584
38006,9598
38006,9585
38006,9607
37894,9589
37965,9585
37965,9606
37965,9610
37965,9598
37995,9585
37995,9584
37987,9589
37971,9585
37971,9598
37971,9610
37937,9584
37931,9589
37931,9617
37985,9589
37914,9589
37914,9618
37914,9596
37988,9589
37988,9617
37862,9589
37862,9618
37951,9590
37951,9621
37951,9619
37950,9623
37979,9621
37979,9590
37979,9614
37979,9609
37979,9617
37979,9605
37964,9611
37964,9618
37935,9610
37935,9585
37947,9606
37947,9609
37947,9610
37870,9605
37870,9599
37870,9617
37870,9589
37870,9590
37870,9586
37912,9589
37912,9608
37889,9610
37889,9598
37889,9596
37889,9618
37889,9605
37858,9610
37858,9598
37858,9606
37927,9618
37927,9589
37927,9606
37887,9619
37854,9598
37854,9610
37854,9606
37852,9617
37852,9598
37932,9610
37932,9585
37932,9609
37932,9596
37865,9617
37865,9606
37865,9589
37907,9609
37907,9618
37996,9619
37996,9605
37996,9599
37996,9608
37970,9598
37970,9606
37970,9587
37885,9611
37885,9618
37983,9590
37983,9614
37983,9608
37983,9607
37983,9611
37983,9599
37983,9621
37983,9593
37983,9596
37939,9599
37939,9619
37939,9618
37978,9589
37978,9590
37978,9599
37978,9605
37966,9589
37966,9587
37882,9618
37882,9585
37953,9591
37953,9589
37953,9614
38000,9584
38000,9618
38015,9618
38015,9589
38015,9607
37977,9614
37934,9589
37934,9617
37961,9617
37961,9589
37961,9590
37962,9609
37962,9618
37974,9606
37974,9617
37974,9598
37896,9589
37896,9621
37873,9598
37905,9601
37905,9609
37895,9621
37895,9590
37895,9619
37989,9617
37989,9589
37860,9589
37860,9610
37860,9606
38022,9605
38022,9589
38022,9591
38022,9618
38022,9590
38022,9621
37940,9586
37940,9599
37940,9605
37940,9591
37940,9611
37920,9589
37920,9587
37920,9611
38014,9619
38014,9614
37872,9609
37872,9584
37959,9598
37959,9610
37967,9599
37967,9589
37967,9617
37969,9609
37963,9599
37963,9619
37963,9618
37850,9589
37850,9596
37850,9610
38013,9594
37913,9611
37990,9610
37990,9611
37990,9596
38012,9611
38012,9610
38012,9606
37968,9589
37968,9591
37968,9617
37868,9609
37868,9610
37868,9606
37868,9605
37886,9611
37897,9609
37897,9618
37897,9596
37897,9611
37897,9607
37954,9609
37981,9609
37981,9608
37981,9605
37981,9591
37981,9599
37981,9601
37997,9611
37997,9606
37997,9621
37997,9590
37997,9618
37900,9619
37900,9618
37924,9617
37924,9589
37869,9610
37869,9585
37869,9596
37903,9610
37903,9609
37994,9619
37994,9608
37946,9617
37946,9589
37864,9585
37864,9610
37901,9585
37948,9611
38005,9619
38005,9617
38005,9599
38005,9605
37973,9619
38017,9619
38017,9608
37866,9585
37866,9610
37866,9596
37919,9589
37919,9617
37919,9623
37972,9609
37972,9584
37899,9618
37899,9619
38010,9584
38010,9589
37938,9598
37941,9589
37941,9608
37984,9609
37984,9585
37949,9589
37949,9585
37856,9614
37856,9602
37975,9585
37975,9584
37892,9585
37892,9618
37928,9585
38021,9614
37902,9619
37902,9614
37890,9619
37890,9590
37890,9605
37890,9591
37890,9621
37890,9593
37890,9617
37890,9611
37926,9605
37926,9609
37926,9610
37926,9596
